"time","BT","BS","SST","SSS","strat","PP","detBac","gfMAB","benthos","copepod","GZ","commSF","commPel","commGF","habDem","habNear","habPel","inverts","ground","forage","PS","recParticip"
11,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1168.53543693453,325679.788213073,10.5444611875108,11.4257533816957,4.6644220738194,2.16716098445476,8.2111541103722,10.0750631322125,10.9083621436226,4059877645.39957,0.00604243881313402,39633560964.9117,4.65154018237378e-22,2.8756232273466e-63,0,"LowIncreasing",30.6419337051835
12,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1169.44598377685,347339.787379941,10.447775021443,11.428349313329,4.61067964968656,2.18268910120822,8.35217235431627,10.5778281700229,10.9779681639379,3909681250.46744,0.00606426489781999,37566159682.3357,1.5844986637211e-23,4.43287786042109e-66,0,"LowIncreasing",30.6511898858165
13,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1134.34900667448,367643.471168971,10.2890960748408,11.4311536994434,4.55009869967414,2.19756215630188,7.91395453277717,10.9688671776602,10.9265396305446,3804895407.90657,0.00608949733502436,37078981999.0671,6.27878347696916e-25,2.02014818102734e-67,0,"LowIncreasing",30.6604413927069
14,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1155.98309176673,382909.065342057,10.2026070652712,11.4325460698268,4.38411169079451,2.19964192326277,7.93143303341817,10.2803673736118,10.9841656223485,3952249724.83185,0.0061143951875324,36745554735.0885,9.1820030137831e-27,6.49217290326154e-70,0,"HighIncreasing",30.669462395084
15,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1229.46942290668,395898.558792232,10.0846129456651,11.4339186868029,4.21364425066595,2.19881512451886,8.48361094713644,10.4595583200658,11.1070451629234,3868217398.11804,0.00613991205638082,35209351710.5802,1.11264089147366e-28,4.30781347398206e-71,0,"HighIncreasing",30.6783056056957
16,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1218.51312877055,408353.437741918,9.85161822954601,11.4352971819266,4.07893250245521,2.19588476789693,8.49809518196797,10.7701647252455,11.2041211193987,3728001626.79721,0.00616700442513933,33481597332.7664,3.75503699802773e-30,7.6782793878001e-69,0,"HighIncreasing",30.687172137753
17,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1288.80812554335,421503.423416815,9.75083786891455,11.4366964358908,3.97947558975097,2.19225886397972,8.37542898919003,10.307781008061,11.1734171671258,3553336029.86339,0.00619436981887528,32757846787.6562,1.10678685161928e-31,3.71732239357506e-63,0,"HighIncreasing",30.695636048394
18,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1185.59660544847,434254.637062119,9.6086333703224,11.4380210582485,3.90751202480948,2.18802798134826,8.47127007314885,9.83390967694019,11.1393948532565,3542731786.81724,0.00622318899188321,33286142217.2687,1.96956520358574e-33,7.09447473941676e-58,0,"HighIncreasing",30.7042853315137
19,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1334.09028021049,448356.173892606,9.61172865825774,11.4391702232051,3.85408518668631,2.18330827580175,8.92037411723987,9.31145906416823,11.1803757888353,3285849889.06119,0.00625194370208412,37480406079.2423,3.76022753274913e-35,3.73978664567739e-53,0,"HighIncreasing",30.7132613025009
20,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1230.01656583327,461732.447247384,9.53056639688062,11.4402109955006,3.81439719656236,2.17826808169519,9.10016602339787,10.1233458305549,11.2131696456981,2992840661.21682,0.00628181602158941,36306007695.4564,3.39248333017027e-36,6.29074031302365e-47,0,"HighIncreasing",30.721737687446
21,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1308.65073059841,475474.57511171,9.5139812438814,11.4410980257689,3.78923370570184,2.17298716438584,9.18322430338911,9.70987411671267,11.1024196513547,2835181961.89818,0.00631138801789983,35432526099.9576,6.81106574029301e-37,1.46114508171241e-39,0,"HighIncreasing",30.7297242712468
22,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1273.03523409609,489368.804129153,9.45970991167337,11.4418533908005,3.77972326387695,2.16789540948379,9.20044207403213,9.67368521546883,11.0930883240193,2717033061.75469,0.00634199486061001,36339168344.4083,2.10747091086689e-37,4.37665303358035e-35,0,"HighIncreasing",30.7384025347925
23,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1334.84593361593,504096.641090657,9.40130347043842,11.4425004129118,3.784822718953,2.16328215408708,9.23482908789028,9.95801488466371,11.0325348358271,2666497796.441,0.00637199919994173,35474595353.6303,7.31464980951157e-38,8.2789859557675e-31,0,"HighIncreasing",30.7469446982311
24,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1220.6669859307,518343.746755693,9.27575548800409,11.4430502904985,3.80064997791661,2.1594150279431,9.34565616211845,10.6421797535738,11.0273878973842,2625030395.31619,0.0064031379061519,34987491443.2888,3.00041421857234e-38,7.53243224615902e-28,0,"HighIncreasing",30.754584020292
25,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1307.71985658619,533830.439640811,9.26432211088951,11.443494442689,3.81954185481521,2.15637179392483,9.32646990053947,10.580431795033,10.944862644032,2652490215.71052,0.00643376642554428,34197519677.5212,2.67409994637609e-38,5.24274217849915e-25,0,"HighIncreasing",30.7630566117956
26,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1118.92886752973,548190.573821504,9.26653683996181,11.4439582352985,3.83364490925956,2.15429219704035,9.25909568662921,10.8309241054326,10.8335935294291,2783806069.17401,0.00646546884162877,34684851599.0564,2.07984318303409e-38,1.16438116911232e-23,0,"HighIncreasing",30.7708857101431
27,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1120.85889387131,561964.076492324,9.17590942540905,11.4442962932607,3.83169042469122,2.15264307658181,9.33673293419717,11.4345076191545,10.8839223669267,2836552983.64478,0.00649661803028336,33922277901.0367,1.03458714182381e-38,4.46869480859375e-24,0,"HighDecreasing",30.7793376059908
28,8.32857142857143,34.52,8.9,33.9,0.882725388256404,991.760285599221,573810.16589086,9.11749213565625,11.4446356184631,3.80817888471009,2.15124196094511,9.41607711602138,11.4039220425424,10.9387132068425,2807984700.83473,0.00652883213201339,31068775052.1274,8.77330107575453e-39,9.51577196117069e-24,0,"HighDecreasing",30.7874728232569
29,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,973.131338076729,584293.759350546,9.1153550483787,11.4450001197164,3.76977430345195,2.15056900353022,9.36210518138699,10.8646678446648,10.9643956899137,2691258198.55639,0.00656040339689724,31213905975.1951,1.37258964177567e-38,1.4766596751979e-22,5.7955152290649e-189,"LowIncreasing",30.7947473147387
30,8.32857142857143,34.52,8.9,33.9,0.882725388256404,807.812502649775,592650.932561603,8.91059974929265,11.4452212067861,3.73175528569223,2.14845614598276,9.34888067425299,10.5156375421486,10.9890139964866,2577591614.50633,0.00659249228330053,34521261239.4272,1.50441229885802e-38,5.8480460791989e-21,1.0955618803144e-189,"LowDecreasing",30.8032216909117
31,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,922.566773734939,601839.50337745,9.2497451882392,11.4453518384981,3.69491602194597,2.14509877971309,9.01171398296536,9.9031075400954,10.5695553432365,2998279950.78806,0.00662326303680161,36290336350.8804,1.47716313455173e-38,5.24165509089155e-19,3.08368600358797e-248,"LowIncreasing",30.8107503937486
32,8.32857142857143,34.52,8.9,33.9,0.882725388256404,793.758985422292,610066.142963206,9.12977578015919,11.4455266739883,3.66557877475902,2.14058820110845,9.52299472771254,10.1274680786585,10.9292138023759,2967684735.80035,0.00665420033878292,35207363568.515,1.7360983889763e-39,2.6452684490327e-22,0,"LowIncreasing",30.8183895580273
33,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,845.29733816978,618745.666983223,9.13043416993101,11.4458325902924,3.63913688978695,2.13492035602913,9.52677815677237,10.1778577902891,10.8781022934696,2898014244.20451,0.00668377086988428,40473734015.6867,6.91847326947917e-39,2.42649645277717e-21,0,"LowIncreasing",30.82610122346
34,8.32857142857143,34.52,8.9,33.9,0.882725388256404,818.923414653796,627163.613937756,9.243538978642,11.4463448140623,3.61953856752787,2.12781229294755,9.49737686998303,10.1535995309059,10.7459515060758,3027310203.75179,0.00671363055257559,36529499416.1091,3.11580224728403e-38,4.32317564442258e-21,0,"LowIncreasing",30.8338148989673
35,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,861.706214156083,635825.572315367,9.23941442243735,11.446991848586,3.59975408838159,2.12101094126837,9.57318660669044,10.3236905802673,10.8440702233555,3059207903.08018,0.00674235378331065,37108848008.2262,1.1380909096492e-37,1.48242712624068e-22,0,"LowIncreasing",30.841050925554
36,8.32857142857143,34.52,8.9,33.9,0.882725388256404,769.18365525202,643319.899434614,9.21621389431195,11.4475865718422,3.58405531482151,2.11500788688614,9.58505316663384,10.3291284976317,10.8394622894681,3039158426.8019,0.00677151478574915,36353093303.8,8.72268572643674e-37,7.29241129533975e-23,0,"LowDecreasing",30.848682121698
37,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,887.53430669577,651958.188868771,9.18960377391772,11.4481146418346,3.56541816418891,2.10995879732481,9.57234237737514,10.4541948697441,10.7991949304221,3101076268.0867,0.00679952871114954,40546030813.1721,8.02089532440073e-36,2.90881839635261e-23,0,"LowIncreasing",30.8566270461779
38,8.32857142857143,34.52,8.9,33.9,0.882725388256404,803.071770900376,659954.986180889,9.12255470604173,11.4486259899993,3.54866809474052,2.10520742642907,9.558956230019,10.6499133101303,10.8625074791703,3074813477.94281,0.00682800189366742,37883550957.4589,6.84275754507228e-35,3.13819132380231e-24,0,"LowDecreasing",30.8636155115102
39,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,833.164768494583,668311.485742168,9.22632657854276,11.4490667172649,3.52666215453569,2.1011266121945,9.46925053283053,10.3699752228916,10.7574594505554,3175370842.36473,0.00685529805251893,37618985643.0023,5.4719085138053e-34,2.04591963654987e-24,0,"LowIncreasing",30.8707057326029
40,8.32857142857143,34.52,8.9,33.9,0.882725388256404,845.563596147978,676494.673720944,9.29868749409206,11.4494620558433,3.50399310312346,2.09701320819677,9.45157424362773,10.4566413005103,10.7228016433294,3293315981.02186,0.00688307507644364,43415604058.2686,2.04920794348561e-33,5.18187722053904e-26,0,"LowDecreasing",30.8782800395119
41,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,837.882676182795,684275.316835302,9.37141556128607,11.4498180413126,3.47114809099893,2.09177346816727,9.44988834351144,10.4829630050009,10.7464633949757,3370736442.69733,0.00690954199280867,44267803058.1039,6.94465799895162e-33,3.45560357461281e-28,0,"LowDecreasing",30.8853331320819
42,8.32857142857143,34.52,8.9,33.9,0.882725388256404,698.605214926681,690013.126151007,9.38921289431606,11.4501095891446,3.4343889038662,2.08606031539867,9.4596376205998,10.4916771198455,10.7882787360306,3420449231.4184,0.00693654198030086,39453586098.0878,2.33314911865021e-32,2.97113366061947e-30,0,"LowIncreasing",30.8889747181707
43,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,733.899718816689,695605.988085908,9.4017826763333,11.450329822954,3.38955224614298,2.081177966597,9.47052911725625,10.5064734188528,10.8225296278958,3413620968.33969,0.00696234667397217,36150518819.0617,8.700190814897e-32,6.38683582646307e-32,0,"LowIncreasing",30.8889747316256
44,8.32857142857143,34.52,8.9,33.9,0.882725388256404,638.729915018169,700372.495337876,9.3922418422708,11.4505801996693,3.35018798127528,2.0768315331669,9.48194401746379,10.4417000608131,10.8362132564521,3432970041.60038,0.00698873993760656,38002448172.7829,3.5870306753903e-31,3.19353166477991e-33,0,"LowDecreasing",30.8889747316256
45,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,625.63988311029,705179.393378938,9.4012791765087,11.4507440806583,3.30999332813677,2.07243544842827,9.491053354623,10.4625257677575,10.8528586018606,3428336487.32173,0.00701374873105746,35522034762.3099,1.59463045858497e-30,2.06048716838309e-34,0,"LowIncreasing",30.8889747316256
46,8.32857142857143,34.52,8.9,33.9,0.882725388256404,636.48944978974,709970.561350668,9.40082533772981,11.4508856623258,3.2783988996653,2.06862117794597,9.50085917818564,10.4880170503659,10.8676092618603,3435808912.88922,0.0070391714181436,35066415781.7472,7.84540007738691e-30,2.00076717034818e-35,0,"HighIncreasing",30.8889747316256
47,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,625.768063110229,713924.293608533,9.39370576192413,11.4510156087043,3.24582324015309,2.06516107311493,9.51244545934969,10.4661910142961,10.8802561705627,3425700424.0433,0.00706323190786784,36971192503.5964,4.25911166369404e-29,2.89471461028995e-36,0,"HighDecreasing",30.8889747316256
48,8.32857142857143,34.52,8.9,33.9,0.882725388256404,577.004060841124,717184.583311596,9.37290064454098,11.4510865053252,3.22078055832956,2.06158873925134,9.5235258317424,10.5161769187777,10.879343596625,3418654552.74681,0.007087617472663,35244941904.1905,2.52342461883918e-28,6.03504107665737e-37,0,"HighIncreasing",30.8889747316256
49,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,654.476640919069,721292.428699049,9.37314691162304,11.4511153562909,3.19436819984865,2.05839411242601,9.53446065919008,10.504838266513,10.8789115480495,3419757645.80146,0.00711066634933789,34731500452.5343,1.62765859530225e-27,1.13332595658873e-37,0,"HighIncreasing",30.8889747316256
50,8.32857142857143,34.52,8.9,33.9,0.882725388256404,590.21139257023,724969.505424064,9.35905623215341,11.451141888649,3.17464754095997,2.05534993318704,9.54798762798816,10.5371669271342,10.8765875613575,3414543082.16747,0.00713400968507118,32735645986.1197,1.13795879026482e-26,1.93550705202233e-38,0,"HighDecreasing",30.8889747316256
